Data;poziom wody w piezometrze B1 npm [cm];temperatura wody w piezometrze B1 [C]
2008-09-23;67.21;12.57
2008-09-24;66.29;12.56
2008-09-25;65.21;12.54
2008-09-26;64.33;12.53
2008-09-27;63.40;12.51
2008-09-28;62.59;12.49
2008-09-29;61.62;12.47
2008-09-30;61.48;12.44
2008-10-01;61.23;12.42
2008-10-02;61.33;12.40
2008-10-03;63.72;12.39
2008-10-04;65.63;12.37
2008-10-05;66.91;12.35
2008-10-06;67.23;12.33
2008-10-07;67.23;12.30
2008-10-08;67.47;12.27
2008-10-09;66.82;12.25
2008-10-10;66.12;12.22
2008-10-11;66.33;12.19
2008-10-12;66.28;12.15
2008-10-13;66.53;12.12
2008-10-14;66.68;12.09
2008-10-15;66.88;12.05
2008-10-16;67.31;12.02
2008-10-17;67.56;12.00
2008-10-18;68.15;11.97
2008-10-19;70.08;11.95
2008-10-20;71.70;11.93
2008-10-21;73.06;11.91
2008-10-22;73.48;11.89
2008-10-23;73.71;11.86
2008-10-24;74.08;11.84
2008-10-25;74.17;11.82
2008-10-26;74.28;11.80
2008-10-27;74.38;11.77
2008-10-28;74.70;11.75
2008-10-29;75.34;11.72
2008-10-30;76.18;11.69
2008-10-31;76.88;11.66
2008-11-01;78.75;11.62
2008-11-02;80.22;11.59
2008-11-03;81.29;11.55
2008-11-04;81.38;11.51
2008-11-05;80.59;11.47
2008-11-06;80.48;11.34
2008-11-07;79.93;11.26
2008-11-08;78.78;11.23
2008-11-09;77.45;11.19
2008-11-10;76.42;11.15
2008-11-11;75.08;11.13
2008-11-12;73.98;11.12
2008-11-13;73.08;11.08
2008-11-14;72.86;11.08
2008-11-15;73.02;11.03
2008-11-16;73.87;10.99
2008-11-17;76.28;10.97
2008-11-18;80.92;10.93
2008-11-19;82.76;10.88
2008-11-20;84.26;10.82
2008-11-21;86.81;10.76
2008-11-22;89.31;10.68
2008-11-23;91.86;10.61
2008-11-24;96.89;10.49
2008-11-25;100.79;10.36
2008-11-26;103.02;10.26
2008-11-27;104.05;10.14
2008-11-28;104.85;10.05
2008-11-29;105.02;10.01
2008-11-30;104.08;9.97
2008-12-01;103.11;9.90
2008-12-02;101.90;9.84
2008-12-03;101.04;9.78
2008-12-04;100.40;9.74
2008-12-05;99.83;9.69
2008-12-06;98.33;9.65
2008-12-07;97.06;9.60
2008-12-08;96.58;9.56
2008-12-09;96.18;9.54
2008-12-10;95.31;9.49
2008-12-11;94.30;9.47
2008-12-12;93.55;9.41
2008-12-13;92.95;9.37
2008-12-14;92.47;9.35
2008-12-15;91.63;9.31
2008-12-16;90.74;9.23
2008-12-17;89.96;9.19
2008-12-18;88.58;9.13
2008-12-19;87.54;9.11
2008-12-20;86.33;9.06
2008-12-21;85.63;9.06
2008-12-22;87.26;9.02
2008-12-23;89.21;9.00
2008-12-24;95.12;8.98
2008-12-25;97.95;8.92
2008-12-26;98.25;8.85
2008-12-27;97.42;8.82
2008-12-28;95.52;8.78
2008-12-29;93.52;8.75
2008-12-30;91.94;8.75
2008-12-31;90.47;8.65
2009-01-01;88.63;8.60
2009-01-02;86.81;8.54
2009-01-03;86.19;8.48
2009-01-04;85.90;8.41
2009-01-05;85.54;8.34
2009-01-06;84.89;8.27
2009-01-07;84.31;8.26
2009-01-08;83.47;8.20
2009-01-09;83.48;8.18
2009-01-10;83.16;8.09
2009-01-11;82.88;8.06
2009-01-12;82.34;8.01
2009-01-13;81.90;7.98
2009-01-14;81.21;7.92
2009-01-15;80.73;7.94
2009-01-16;80.59;7.89
2009-01-17;81.58;7.87
2009-01-18;81.55;7.82
2009-01-19;80.50;7.79
2009-01-20;79.52;7.78
2009-01-21;78.74;7.69
2009-01-22;78.00;7.72
2009-01-23;77.85;7.72
2009-01-24;77.23;7.63
2009-01-25;76.66;7.68
2009-01-26;76.60;7.64
2009-01-27;76.35;7.63
2009-01-28;75.87;7.62
2009-01-29;75.29;7.60
2009-01-30;74.76;7.58
2009-01-31;74.68;7.55
2009-02-01;74.97;7.57
2009-02-02;74.59;7.53
2009-02-03;74.12;7.50
2009-02-04;73.43;7.46
2009-02-05;72.24;7.45
2009-02-06;71.23;7.40
2009-02-07;70.28;7.36
2009-02-08;69.18;7.32
2009-02-09;68.35;7.29
2009-02-10;68.18;7.25
2009-02-11;67.46;7.24
2009-02-12;67.08;7.23
2009-02-13;68.04;7.20
2009-02-14;69.36;7.20
2009-02-15;70.48;7.16
2009-02-16;70.87;7.15
2009-02-17;71.75;7.16
2009-02-18;73.89;7.22
2009-02-19;74.33;7.17
2009-02-20;73.98;7.12
2009-02-21;72.66;7.07
2009-02-22;71.65;7.08
2009-02-23;70.18;7.05
2009-02-24;69.58;7.02
2009-02-25;69.98;7.02
2009-02-26;70.69;6.99
2009-02-27;71.57;6.97
2009-02-28;73.06;6.97
2009-03-01;74.93;6.95
2009-03-02;75.73;6.95
2009-03-03;75.56;6.94
2009-03-04;75.07;6.94
2009-03-05;74.45;6.94
2009-03-06;74.18;6.94
2009-03-07;74.08;6.95
2009-03-08;73.91;6.96
2009-03-09;73.04;6.97
2009-03-10;71.90;7.02
2009-03-11;70.88;7.09
2009-03-12;70.85;7.11
2009-03-13;71.32;7.11
2009-03-14;70.46;7.11
2009-03-15;69.53;7.11
2009-03-16;68.85;7.12
2009-03-17;68.56;7.13
2009-03-18;68.82;7.11
2009-03-19;70.93;7.15
2009-03-20;72.81;7.21
2009-03-21;74.42;7.20
2009-03-22;75.05;7.19
2009-03-23;75.50;7.19
2009-03-24;76.18;7.19
2009-03-25;78.50;7.25
2009-03-26;82.66;7.21
2009-03-27;85.02;7.09
2009-03-28;85.33;7.11
2009-03-29;84.78;7.11
2009-03-30;84.13;7.14
2009-03-31;83.61;7.15
2009-04-01;82.91;7.15
2009-04-02;81.97;7.16
2009-04-03;81.38;7.17
2009-04-04;80.51;7.18
2009-04-05;79.41;7.19
2009-04-06;78.68;7.20
2009-04-07;77.99;7.21
2009-04-08;77.08;7.21
2009-04-09;76.09;7.24
2009-04-10;75.46;7.27
2009-04-11;74.72;7.28
2009-04-12;73.94;7.30
2009-04-13;73.10;7.32
2009-04-14;72.29;7.35
2009-04-15;71.26;7.38
2009-04-16;70.68;7.41
2009-04-17;69.99;7.43
2009-04-18;69.15;7.46
2009-04-19;68.50;7.49
2009-04-20;67.95;7.51
2009-04-21;67.43;7.54
2009-04-22;66.80;7.57
2009-04-23;65.88;7.60
2009-04-24;65.18;7.63
2009-04-25;64.32;7.66
2009-04-26;63.54;7.68
2009-04-27;62.93;7.71
2009-04-28;61.97;7.73
2009-04-29;61.13;7.76
2009-04-30;60.47;7.79
2009-05-01;60.08;7.82
2009-05-02;59.68;7.86
2009-05-03;59.24;7.90
2009-05-04;58.28;7.95
2009-05-05;57.73;7.99
2009-05-06;57.00;8.04
2009-05-07;57.07;8.08
2009-05-08;57.91;8.13
2009-05-09;57.74;8.18
2009-05-10;57.68;8.22
2009-05-11;57.64;8.26
2009-05-12;57.93;8.29
2009-05-13;58.42;8.33
2009-05-14;59.08;8.37
2009-05-15;59.62;8.41
2009-05-16;59.58;8.44
2009-05-17;58.98;8.48
2009-05-18;58.10;8.52
2009-05-19;57.23;8.55
2009-05-20;56.34;8.59
2009-05-21;56.08;8.62
2009-05-22;55.21;8.66
2009-05-23;54.73;8.70
2009-05-24;54.91;8.73
2009-05-25;55.04;8.77
2009-05-26;54.83;8.81
2009-05-27;54.08;8.85
2009-05-28;54.41;8.89
2009-05-29;55.03;8.93
2009-05-30;56.58;8.97
2009-05-31;58.25;9.02
2009-06-01;59.27;9.07
2009-06-02;58.94;9.11
2009-06-03;58.38;9.16
2009-06-04;59.41;9.20
2009-06-05;60.79;9.25
2009-06-06;62.00;9.29
2009-06-07;62.49;9.34
2009-06-08;62.21;9.39
2009-06-09;61.65;9.44
2009-06-10;60.45;9.49
2009-06-11;59.35;9.53
2009-06-12;58.28;9.56
2009-06-13;60.68;9.60
2009-06-14;64.43;9.64
2009-06-15;67.53;9.68
2009-06-16;69.56;9.72
2009-06-17;70.45;9.76
2009-06-18;71.13;9.79
2009-06-19;70.53;9.82
2009-06-20;69.63;9.86
2009-06-21;68.91;9.89
2009-06-22;68.24;9.92
2009-06-23;67.46;9.96
2009-06-24;67.68;9.99
2009-06-25;69.19;10.02
2009-06-26;70.29;10.06
2009-06-27;69.96;10.10
2009-06-28;68.91;10.14
2009-06-29;67.47;10.17
2009-06-30;65.88;10.21
2009-07-01;64.47;10.25
2009-07-02;63.19;10.29
2009-07-03;61.96;10.33
2009-07-04;60.83;10.38
2009-07-05;59.86;10.42
2009-07-06;59.30;10.47
2009-07-07;58.96;10.52
2009-07-08;58.57;10.57
2009-07-09;59.57;10.62
2009-07-10;62.56;10.69
2009-07-11;64.60;10.75
2009-07-12;65.82;10.81
2009-07-13;66.18;10.86
2009-07-14;66.35;10.91
2009-07-15;66.31;10.96
2009-07-16;66.68;11.01
2009-07-17;68.73;11.06
2009-07-18;69.31;11.10
