Data;poziom morza;poziom morza  [cm] npm
2008-09-23;493.50;-14.50
2008-09-24;490.67;-17.33
2008-09-25;486.67;-21.33
2008-09-26;481.00;-27.00
2008-09-27;480.67;-27.33
2008-09-28;479.33;-28.67
2008-09-29;493.00;-15.00
2008-09-30;492.00;-16.00
2008-10-01;493.50;-14.50
2008-10-02;497.83;-10.17
2008-10-03;506.17;-1.83
2008-10-04;506.50;-1.50
2008-10-05;483.67;-24.33
2008-10-06;504.67;-3.33
2008-10-07;513.67;5.67
2008-10-08;511.83;3.83
2008-10-09;508.67;0.67
2008-10-10;510.00;2.00
2008-10-11;497.50;-10.50
2008-10-12;512.83;4.83
2008-10-13;509.83;1.83
2008-10-14;516.50;8.50
2008-10-15;517.17;9.17
2008-10-16;514.83;6.83
2008-10-17;539.50;31.50
2008-10-18;529.67;21.67
2008-10-19;524.00;16.00
2008-10-20;525.33;17.33
2008-10-21;511.67;3.67
2008-10-22;523.83;15.83
2008-10-23;529.00;21.00
2008-10-24;505.50;-2.50
2008-10-25;524.50;16.50
2008-10-26;501.67;-6.33
2008-10-27;534.50;26.50
2008-10-28;530.83;22.83
2008-10-29;543.17;35.17
2008-10-30;556.17;48.17
2008-10-31;536.33;28.33
2008-11-01;545.83;37.83
2008-11-02;532.67;24.67
2008-11-03;525.83;17.83
2008-11-04;526.67;18.67
2008-11-05;523.17;15.17
2008-11-06;526.17;18.17
2008-11-07;510.83;2.83
2008-11-08;508.17;0.17
2008-11-09;501.67;-6.33
2008-11-10;485.50;-22.50
2008-11-11;489.67;-18.33
2008-11-12;496.17;-11.83
2008-11-13;507.83;-0.17
2008-11-14;499.83;-8.17
2008-11-15;504.67;-3.33
2008-11-16;517.17;9.17
2008-11-17;549.33;41.33
2008-11-18;500.67;-7.33
2008-11-19;535.33;27.33
2008-11-20;537.83;29.83
2008-11-21;550.17;42.17
2008-11-22;559.00;51.00
2008-11-23;574.83;66.83
2008-11-24;559.33;51.33
2008-11-25;559.00;51.00
2008-11-26;533.50;25.50
2008-11-27;531.17;23.17
2008-11-28;521.17;13.17
2008-11-29;538.17;30.17
2008-11-30;530.50;22.50
2008-12-01;532.83;24.83
2008-12-02;541.33;33.33
2008-12-03;519.67;11.67
2008-12-04;523.00;15.00
2008-12-05;533.83;25.83
2008-12-06;533.50;25.50
2008-12-07;533.17;25.17
2008-12-08;520.67;12.67
2008-12-09;520.00;12.00
2008-12-10;528.17;20.17
2008-12-11;526.83;18.83
2008-12-12;522.67;14.67
2008-12-13;514.00;6.00
2008-12-14;510.50;2.50
2008-12-15;507.17;-0.83
2008-12-16;503.83;-4.17
2008-12-17;499.00;-9.00
2008-12-18;495.67;-12.33
2008-12-19;494.67;-13.33
2008-12-20;506.83;-1.17
2008-12-21;523.00;15.00
2008-12-22;512.83;4.83
2008-12-23;558.00;50.00
2008-12-24;524.00;16.00
2008-12-25;522.50;14.50
2008-12-26;509.33;1.33
2008-12-27;508.83;0.83
2008-12-28;512.00;4.00
2008-12-29;502.83;-5.17
2008-12-30;494.83;-13.17
2008-12-31;490.67;-17.33
2009-01-01;510.17;2.17
2009-01-02;504.50;-3.50
2009-01-03;508.33;0.33
2009-01-04;510.00;2.00
2009-01-05;503.50;-4.50
2009-01-06;478.50;-29.50
2009-01-07;511.33;3.33
2009-01-08;501.67;-6.33
2009-01-09;501.17;-6.83
2009-01-10;507.00;-1.00
2009-01-11;482.83;-25.17
2009-01-12;473.33;-34.67
2009-01-13;491.33;-16.67
2009-01-14;512.00;4.00
2009-01-15;527.83;19.83
2009-01-16;523.50;15.50
2009-01-17;504.00;-4.00
2009-01-18;493.67;-14.33
2009-01-19;500.33;-7.67
2009-01-20;499.00;-9.00
2009-01-21;502.83;-5.17
2009-01-22;503.33;-4.67
2009-01-23;490.00;-18.00
2009-01-24;509.17;1.17
2009-01-25;505.00;-3.00
2009-01-26;504.83;-3.17
2009-01-27;504.33;-3.67
2009-01-28;500.17;-7.83
2009-01-29;500.17;-7.83
2009-01-30;505.67;-2.33
2009-01-31;504.67;-3.33
2009-02-01;491.33;-16.67
2009-02-02;483.00;-25.00
2009-02-03;480.33;-27.67
2009-02-04;479.67;-28.33
2009-02-05;480.00;-28.00
2009-02-06;481.00;-27.00
2009-02-07;490.00;-18.00
2009-02-08;487.83;-20.17
2009-02-09;483.50;-24.50
2009-02-10;482.83;-25.17
2009-02-11;508.50;0.50
2009-02-12;511.33;3.33
2009-02-13;508.83;0.83
2009-02-14;506.17;-1.83
2009-02-15;498.00;-10.00
2009-02-16;499.17;-8.83
2009-02-17;505.17;-2.83
2009-02-18;500.83;-7.17
2009-02-19;496.17;-11.83
2009-02-20;493.83;-14.17
2009-02-21;487.83;-20.17
2009-02-22;469.00;-39.00
2009-02-23;503.83;-4.17
2009-02-24;497.33;-10.67
2009-02-25;489.50;-18.50
2009-02-26;495.17;-12.83
2009-02-27;512.00;4.00
2009-02-28;509.67;1.67
2009-03-01;504.67;-3.33
2009-03-02;493.33;-14.67
2009-03-03;491.67;-16.33
2009-03-04;495.83;-12.17
2009-03-05;500.50;-7.50
2009-03-06;503.67;-4.33
2009-03-07;500.33;-7.67
2009-03-08;490.67;-17.33
2009-03-09;491.50;-16.50
2009-03-10;497.00;-11.00
2009-03-11;502.33;-5.67
2009-03-12;500.67;-7.33
2009-03-13;491.50;-16.50
2009-03-14;488.50;-19.50
2009-03-15;498.00;-10.00
2009-03-16;489.83;-18.17
2009-03-17;499.17;-8.83
2009-03-18;515.17;7.17
2009-03-19;513.83;5.83
2009-03-20;493.50;-14.50
2009-03-21;493.50;-14.50
2009-03-22;503.17;-4.83
2009-03-23;507.83;-0.17
2009-03-24;537.50;29.50
2009-03-25;515.17;7.17
2009-03-26;501.67;-6.33
2009-03-27;499.00;-9.00
2009-03-28;497.17;-10.83
2009-03-29;504.67;-3.33
2009-03-30;493.00;-15.00
2009-03-31;481.83;-26.17
2009-04-01;498.00;-10.00
2009-04-02;494.33;-13.67
2009-04-03;494.33;-13.67
2009-04-04;498.67;-9.33
2009-04-05;496.00;-12.00
2009-04-06;492.17;-15.83
2009-04-07;497.50;-10.50
2009-04-08;500.00;-8.00
2009-04-09;491.67;-16.33
2009-04-10;489.67;-18.33
2009-04-11;489.33;-18.67
2009-04-12;490.17;-17.83
2009-04-13;486.17;-21.83
2009-04-14;490.83;-17.17
2009-04-15;492.00;-16.00
2009-04-16;487.33;-20.67
2009-04-17;481.50;-26.50
2009-04-18;488.67;-19.33
2009-04-19;475.67;-32.33
2009-04-20;478.17;-29.83
2009-04-21;476.83;-31.17
2009-04-22;477.17;-30.83
2009-04-23;480.67;-27.33
2009-04-24;474.83;-33.17
2009-04-25;472.67;-35.33
2009-04-26;471.50;-36.50
2009-04-27;474.33;-33.67
2009-04-28;477.00;-31.00
2009-04-29;483.33;-24.67
2009-04-30;489.83;-18.17
2009-05-01;479.00;-29.00
2009-05-02;472.00;-36.00
2009-05-03;471.33;-36.67
2009-05-04;477.50;-30.50
2009-05-05;475.17;-32.83
2009-05-06;487.67;-20.33
2009-05-07;490.00;-18.00
2009-05-08;489.17;-18.83
2009-05-09;487.17;-20.83
2009-05-10;496.83;-11.17
2009-05-11;502.67;-5.33
2009-05-12;506.67;-1.33
2009-05-13;503.17;-4.83
2009-05-14;503.83;-4.17
2009-05-15;498.67;-9.33
2009-05-16;497.83;-10.17
2009-05-17;491.17;-16.83
2009-05-18;490.33;-17.67
2009-05-19;486.67;-21.33
2009-05-20;486.00;-22.00
2009-05-21;485.67;-22.33
2009-05-22;492.67;-15.33
2009-05-23;495.67;-12.33
2009-05-24;494.67;-13.33
2009-05-25;496.17;-11.83
2009-05-26;494.33;-13.67
2009-05-27;492.33;-15.67
2009-05-28;499.50;-8.50
2009-05-29;522.00;14.00
2009-05-30;513.50;5.50
2009-05-31;507.83;-0.17
2009-06-01;502.83;-5.17
2009-06-02;503.33;-4.67
2009-06-03;515.33;7.33
2009-06-04;510.33;2.33
2009-06-05;518.33;10.33
2009-06-06;511.50;3.50
2009-06-07;510.00;2.00
2009-06-08;504.67;-3.33
2009-06-09;501.67;-6.33
2009-06-10;502.83;-5.17
2009-06-11;497.17;-10.83
2009-06-12;512.17;4.17
2009-06-13;521.00;13.00
2009-06-14;514.83;6.83
2009-06-15;511.50;3.50
2009-06-16;519.67;11.67
2009-06-17;520.17;12.17
2009-06-18;509.33;1.33
2009-06-19;512.83;4.83
2009-06-20;514.17;6.17
2009-06-21;518.17;10.17
2009-06-22;518.00;10.00
2009-06-23;517.67;9.67
2009-06-24;519.00;11.00
2009-06-25;517.33;9.33
2009-06-26;510.00;2.00
2009-06-27;506.67;-1.33
2009-06-28;501.67;-6.33
2009-06-29;501.67;-6.33
2009-06-30;501.67;-6.33
2009-07-01;497.83;-10.17
2009-07-02;495.67;-12.33
2009-07-03;493.00;-15.00
2009-07-04;496.83;-11.17
2009-07-05;507.00;-1.00
2009-07-06;501.67;-6.33
2009-07-07;500.00;-8.00
2009-07-08;506.50;-1.50
2009-07-09;510.17;2.17
2009-07-10;506.17;-1.83
2009-07-11;518.83;10.83
2009-07-12;514.17;6.17
2009-07-13;514.50;6.50
2009-07-14;513.50;5.50
2009-07-15;511.33;3.33
2009-07-16;507.17;-0.83
2009-07-17;502.50;-5.50
2009-07-18;515.00;7.00
2009-07-19;508.33;0.33
2009-07-20;505.00;-3.00
2009-07-21;500.17;-7.83
2009-07-22;511.83;3.83
2009-07-23;513.17;5.17
2009-07-24;514.17;6.17
2009-07-25;515.33;7.33
2009-07-26;521.33;13.33
2009-07-27;517.00;9.00
2009-07-28;518.50;10.50
2009-07-29;514.50;6.50
2009-07-30;515.00;7.00
2009-07-31;510.33;2.33
2009-08-01;512.33;4.33
2009-08-02;516.67;8.67
2009-08-03;520.67;12.67
2009-08-04;519.33;11.33
2009-08-05;515.33;7.33
2009-08-06;510.83;2.83
2009-08-07;507.50;-0.50
2009-08-08;504.33;-3.67
2009-08-09;499.83;-8.17
2009-08-10;495.67;-12.33
2009-08-11;498.50;-9.50
2009-08-12;502.33;-5.67
2009-08-13;517.33;9.33
2009-08-14;519.00;11.00
2009-08-15;511.17;3.17
2009-08-16;499.83;-8.17
2009-08-17;507.33;-0.67
2009-08-18;519.67;11.67
2009-08-19;526.00;18.00
2009-08-20;513.17;5.17
2009-08-21;508.50;0.50
2009-08-22;513.33;5.33
2009-08-23;510.67;2.67
2009-08-24;505.67;-2.33
2009-08-25;504.50;-3.50
2009-08-26;505.33;-2.67
2009-08-27;502.83;-5.17
2009-08-28;505.50;-2.50
2009-08-29;504.50;-3.50
2009-08-30;508.67;0.67
2009-08-31;505.00;-3.00
2009-09-01;504.00;-4.00
2009-09-02;506.00;-2.00
2009-09-03;513.50;5.50
2009-09-04;499.17;-8.83
2009-09-05;513.00;5.00
2009-09-06;521.33;13.33
2009-09-07;518.00;10.00
2009-09-08;510.17;2.17
2009-09-09;503.83;-4.17
2009-09-10;525.17;17.17
2009-09-11;523.33;15.33
2009-09-12;516.67;8.67
2009-09-13;525.83;17.83
2009-09-14;528.67;20.67
2009-09-15;519.17;11.17
2009-09-16;507.50;-0.50
2009-09-17;514.67;6.67
